2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-15] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-10 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-33] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-46] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-48 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-62] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-93] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-103 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-32] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-60] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-32 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-78] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-76] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-55] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-90 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-103] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-5] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-59 
